Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
GarenaFreeFireLATAM,Unknown,11900000.0,Mexico,37900.0,2600.0,41.0,http://youtube.com/channel/UC1ZPgKGxaT5P7QKN_bk9xkw
Enterr10Rangeela,Music and Dance,11900000.0,India,20600.0,325.0,4.0,http://youtube.com/channel/UCR_-PUF53tA5-Iyp4Ncfjcg
KenhThieuNhiBHMedia,"Music and Dance, Animation",11900000.0,United States,10200.0,28.0,0.0,http://youtube.com/channel/UC6eq3sR4CtbvGdmInchzWUA
mussoumano,"Music and Dance, Animation",11900000.0,Brazil,1600000.0,68700.0,2400.0,http://youtube.com/channel/UC607Gii1uo93qDqiGR6-c3w
videogyan,"Animation, Toys",11800000.0,Unknown,955300.0,19800.0,0.0,http://youtube.com/channel/UCs0upBDG-dCAxy8_VDPE5XA
lukedavidson81,"Animation, Humor",11800000.0,United States,1700000.0,109200.0,1000.0,http://youtube.com/channel/UCuwJoiGWRxPYStBp0l0WuZw
cute.shivani.05,Unknown,11700000.0,India,2100000.0,0.0,959.0,http://youtube.com/channel/UCLEJtcaMQePVD5N8VD8JsfA
NFL,Sports,11700000.0,United States,21400.0,692.0,42.0,http://youtube.com/channel/UCDVYQ4Zhbm3S2dlz7P1GBDg
MykeTowers,Music and Dance,11700000.0,Colombia,11000.0,629.0,18.0,http://youtube.com/channel/UCLk8IJ1TwI7Xl7UUfAD8xPQ
cut,Humor,11700000.0,United States,359000.0,8800.0,342.0,http://youtube.com/channel/UCbaGn5VkOVlcRgIWAHcrJKA
JoeHattab,Movies,11700000.0,Somalia,1900000.0,98500.0,2900.0,http://youtube.com/channel/UCe6eisvsctSPvBhmincn6kA
BeAmazed,Education,11700000.0,United States,477800.0,9900.0,556.0,http://youtube.com/channel/UCkQO3QsgTpNTsOw6ujimT5Q
5MinuteCraftsLIKE,Unknown,11700000.0,India,2700.0,28.0,1.0,http://youtube.com/channel/UCzTWHWnJ6VIcbkpqyv7_FaQ
RedChilliesEntertainment,Unknown,11700000.0,India,848300.0,66700.0,842.0,http://youtube.com/channel/UCjJKg01HAP01xCLVhDmnLhw
VYRLOriginals,Unknown,11700000.0,India,48800.0,949.0,101.0,http://youtube.com/channel/UCye6Oz0mg46S362LwARGVcA
hamzymukbang,Unknown,11700000.0,United States,397400.0,14000.0,124.0,http://youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ
Adaahqueen,Unknown,11700000.0,India,1100000.0,92500.0,164.0,http://youtube.com/channel/UCk3fFpqI5kDMf__mUPftIqQ
LittleAngelIndonesia,Music and Dance,11700000.0,Unknown,211400.0,745.0,0.0,http://youtube.com/channel/UCdrHrQf0o0TO8YDntXJ4VIQ
PenMultiplex,Unknown,11700000.0,India,14000.0,81.0,1.0,http://youtube.com/channel/UCObyBrdrtQ20BU9PxHQDY9w
OneindiaHindi,News and Politics,11700000.0,India,2200.0,31.0,1.0,http://youtube.com/channel/UCOjgc1p2hJ4GZi6pQQoXWYQ
